Assigned to:,Paper ID:,Paper:,No. of pages,Publication type (journal/conference),Decision,Reason if excluded,Type of secondary study ,Databases searched,No. of primary studies,Primary studies date range,Methods used to develop the agenda,Group,IS domain(s),IS application sector(s),RQs/Objectives,"Main findings (including theoretical contributions, if present) and conclusions",Reported GenAI benefits,Reported GenAI benefits with (with code annotation),Reported GenAI challenges/limitations,Reported GenAI challenges/limitations (with code annotation),Suggestions about research gaps or future research directions,Suggestions about research gaps or future research directions  (with code annotation),Additional remarks
"Adam, Olek and Jacinto",E01,"Alrumi, A. R. (2024). HARNESSING THE POWER OF ARTIFICIAL INTELLIGENCE TO IMPROVE MANAGEMENT INFORMATION SYSTEMS. International Journal for Quality Research, 18(1).",14,journal,Exclude,It does not focus on GenAI. It reviews a broad range of papers about other non-generative approaches.,"SLR is claimed but the methodology is missing several details, such as keywords used, research questions to be answered, etc.",Google Scholar,29,Long range (2017 and earlier to 2022),,,MIS,"General Applications, Government Institutions, Healthcare, Hospitality Sector, Production System, Financial institutions, Marketing and communication, Customer relationship Management","""This paper aims at a systematic review of the applications and usefulness of AI to improve MIS.""","No main findings are provided. Just a summary of the content of papers, not even connected.",GenAI was not investigated,GenAI was not investigated,GenAI was not investigated,,,,
"Adam, Olek and Jacinto",R01,"Kumar, N., Wei, X., & Zhang, H. (2024). Addressing Bias in Generative Ai: Challenges and Research Opportunities in Information Management. Available at SSRN 4976889.",9,journal,Include (roadmap paper),,,,,,"Unknown, some references are provided in each section about research directions, but no process is described",MIS,MIS (considering specifically ethics and the bias problem),"Human Resources Management, Healthcare Information Systems (HIS), Financial Information Systems, Marketing Applications, Customer Relationship Management (CRM) Systems, Sentiment Analysis, Information Retrieval and Annotation, Recommendation Systems.","""Our goal is to synthesize existing research on LLM bias, offer an innovative view to guide information management research in this vital and challenging area, and guide the creation of LLM systems that uphold ethical integrity and inclusivity.""","- A conceptual framework to identify future research directions on mitigating bias in GenAI.
- A research agenda with several research questions for IS research, split into (i) research design, (ii) technical development, and (iii) policymaking and social impact. It also includes additional research questions for each IS application sector.

Conclusions:
- ""The inherent biases within these models, particularly in LLMs, raise significant ethical concerns. Trained on extensive internet text data, LLMs often mirror societal biases, stereotypes, and cultural assumptions, thereby influencing decision-making, entrenching stereotypes, and perpetuating inequalities.""
- ""We recognize that stakeholders in the LLM ecosystem, including developers, companies, users, and policymakers, often have varied and sometimes conflicting objectives. Hence, our research questions incorporate the need to balance these tensions to develop solutions that ensure more equitable LLMs.""
- ""Further ... we emphasize the need for interdisciplinary efforts. By integrating insights from computer science, ethics, law, and social sciences, information management scholars can develop more robust and comprehensive research designs.""
- ""We call for collaboration between practitioners and researchers to develop best practices in tackling these challenges.""
- ""Information management curricula should also emphasize bias issues in GenAI, preparing students to navigate responsible implementation by understanding data integrity and ethical principles in GenAI practices.""
- Bias in GenAI is a complex sociotechnical challenge requiring both technical and ethical solutions.","- ""GenAI technologies have transformative potential for enhancing productivity and economic value across various business sectors.""
- Enhances productivity and decision-making across sectors.","- ""GenAI technologies have transformative potential for enhancing productivity and economic value across various business sectors."" {Supports design knowledge and research across disciplines [B3]}
- Enhances productivity and decision-making across sectors. {Supports design knowledge and research across disciplines [B3]}","- ""... the inherent biases within these models, particularly in LLMs, raise significant ethical concerns. Trained on extensive internet text data, LLMs often mirror societal biases, stereotypes, and cultural assumptions, thereby influencing decision-making, entrenching stereotypes, and perpetuating inequalities.""
- High computational costs and expertise required for debiasing.
- Lack of universally acceptable fairness standards across cultures.
- Tensions between fairness and efficiency/profitability.","- ""... the inherent biases within these models, particularly in LLMs, raise significant ethical concerns. Trained on extensive internet text data, LLMs often mirror societal biases, stereotypes, and cultural assumptions, thereby influencing decision-making, entrenching stereotypes, and perpetuating inequalities."" {Biases and Discrimination [C1]}
- High computational costs and expertise required for debiasing. {Environmental Sustainability [C1]}
- Lack of universally acceptable fairness standards across cultures. {Fairness Implementation Challenges [C1]}
- Tensions between fairness and efficiency/profitability. {Fairness Implementation Challenges [C1]}","The paper outlines an extensive research agenda and proposes numerous research questions across technical, organizational, and policy domains:
A) Future directions for information management research
- Interdisciplinary Approaches and Collaboration:
""(1) What dynamic methodologies can information management scholars design to integrate real-time user feedback for continuous detection and mitigation of LLM bias, ensuring scalability and operational efficiency? (2) How can scholars develop and implement resource-efficient longitudinal studies to evaluate the effectiveness of continuous monitoring frameworks in mitigating bias over time while addressing expertise gaps and computational limitations?""
- Inclusive Design and Cross-Cultural Studies:
""(1) How can the needs and perspectives of underrepresented and marginalized groups be effectively captured in the research design and data collection processes while balancing inclusivity, scalability, and the operational efficiency required for global deployment? (2) How does LLM bias manifest across national and cultural contexts, and what design strategies, grounded in information management theories, can balance the tension between culturally specific adaptations and the need for consistent global standards?""
- Improved Fairness Metrics:
""(1) How can fairness metrics balance generality and specificity to ensure broad applicability while capturing nuanced and context-specific biases? (2) What resource-efficient methodologies can operationalize fairness metrics, accounting for computational constraints and scalability requirements in real-world applications? (3) How can theories from information management guide the design of fairness metrics that reconcile conflicting stakeholder definitions of fairness, ensuring equitable treatment across diverse demographic groups while maintaining practical feasibility?""
- Advanced Debiasing Techniques:
""(1) In debiasing finetuning, how can researchers balance the trade-off between over-tuning for accuracy and under-tuning for generalization? (2) What strategies can enable realtime debiasing in LLMs to adapt to evolving datasets while mitigating the risk of bias drift and performance degradation? (3) How can researchers identify and prioritize key features or characteristics that influence bias, ensuring effective mitigation without compromising scalability and model accuracy?""
- Explainable AI for Transparency and Accountability:
""(1) How can XAI methods be integrated into LLMs to improve transparency while maintaining model performance? (2) How can XAI techniques be tailored for domain-specific applications (e.g., healthcare, finance, education) to ensure context-relevant transparency?""
- Policy Development and Ethical Guidelines:
""(1) How can information management researchers balance the tension between fostering innovation in LLMs and mitigating unintended societal consequences, particularly when ethical imperatives conflict with commercial pressures? (2) What ethical guidelines can direct the responsible integration of LLMs in high-stakes sectors like healthcare and finance, where conflicting demands for rapid deployment, accuracy, and inclusivity create unique regulatory approaches?""
- Social Impact:
""(1) How does bias propagate from foundational LLMs to downstream business applications, and what tensions arise when addressing these biases in business contexts prioritizing speed and scalability over fairness? (2) What tradeoffs between efficiency and equity should be considered when evaluating the societal impact of LLM bias mitigation efforts, particularly in scenarios where mitigating bias may reduce profitability or create competitive disadvantages for organizations?""
B) Applied areas of information management practice
- Human Resources Management:
""(1) How can bias in LLM-driven recruitment systems be designed to minimize bias and prevent gender and racial discrimination in hiring and evaluations? (2) What role can explainable AI play in enhancing the transparency and fairness of LLM-driven HR processes?""
- Healthcare Information Systems (HIS):
""(1) How can LLMs be tailored for healthcare systems to reduce biases that lead to disparities in patient treatment quality, particularly for marginalized groups? (2) How can researchers distinguish between intended differentiation, such as customizing treatment plans for specific populations (e.g., African Americans), and unintended differentiation that may lead to inequitable outcomes?""
- Financial Information Systems:
""(1) How can information management scholars design fairness-aware LLM-based credit scoring frameworks that balance regulatory fairness mandates, organizational profitability, and equitable outcomes access for marginalized groups? (2) What strategies can mitigate real-time biases in LLM-driven algorithmic trading to ensure market stability and inclusivity while reconciling the conflicting priorities of high-speed decision-making and ethical accountability?""
- Marketing Applications:
""(1) What frameworks can information management scholars develop to design LLM-based marketing systems that proactively minimize biases in audience targeting and content recommendations, ensuring equitable representation across diverse demographic groups while maintaining scalability and effectiveness? (2) What actionable methodologies can be designed to detect, analyze, and mitigate unintended biases in LLM-driven marketing systems while effectively balancing the competing priorities of hyper-personalization, customer engagement, inclusivity, and ethical accountability?""
- Customer Relationship Management (CRM) Systems:
""(1) How can LLM-based CRM systems be optimized to avoid gender and cultural stereotypes in customer interactions, particularly in voice assistants and chatbots? (2) What role can explainable AI play in ensuring that LLM-driven CRM systems maintain fairness and transparency in customer service practices?""
- Sentiment Analysis:
""(1) How can biases in sentiment analysis algorithms using LLMs be addressed to ensure fair and accurate customer feedback analysis across different regions and cultures? (2) To what extent can LLMs be trained to better interpret nuances like sarcasm and irony, minimizing linguistic biases?""
- Information Retrieval and Annotation:
""(1) What finetuning methods can be developed to ensure that LLM models provide accurate results in information retrieval and annotation? (2) How can bias in LLM-assisted data annotation be continuously detected and corrected to prevent skewed outcomes?""
- Recommendation Systems:
""(1) How can LLM-based recommendation systems be designed to minimize bias and ensure fair content exposure across different user demographics and preferences? (2) What metrics can be established to evaluate the fairness and diversity of LLM-driven recommendation systems, particularly in e-commerce?""
- Other information systems:
""(1) How can bias in LLM-driven decision support systems be mitigated to ensure fair resource allocation? Similarly, biases in fraud detection systems can result in higher false positive rates for transactions from certain demographic groups, leading to discriminatory practices where individuals from specific backgrounds are unfairly targeted for fraud investigations. Hence, another critical question is: (2) What methods can reduce false positive rates in LLM-based fraud detection systems to avoid discriminatory practices against specific demographic groups?""","""(1) What dynamic methodologies can information management scholars design to integrate real-time user feedback for continuous detection and mitigation of LLM bias, ensuring scalability and operational efficiency?  {Accountability and contestability [F6]}, {GenAI bias mitigation [F4]}, {Efficiency and scalability [F6]}

(2) How can scholars develop and implement resource-efficient longitudinal studies to evaluate the effectiveness of continuous monitoring frameworks in mitigating bias over time while addressing expertise gaps and computational limitations?"" {Empirical evaluation of GenAI in the field [F5]}, {GenAI bias mitigation [F4]}

""(1) How can the needs and perspectives of underrepresented and marginalized groups be effectively captured in the research design and data collection processes while balancing inclusivity, scalability, and the operational efficiency required for global deployment? {Proper representation and inclusivity [F4]}, {Efficiency and scalability [F6]}

(2) How does LLM bias manifest across national and cultural contexts, and what design strategies, grounded in information management theories, can balance the tension between culturally specific adaptations and the need for consistent global standards?"" {Awareness of user's specifics [F4]}, {GenAI bias mitigation [F4]}

""(1) How can fairness metrics balance generality and specificity to ensure broad applicability while capturing nuanced and context-specific biases? {Definition of GenAI metrics [F5]}, {Awareness of user's specifics [F4]}

(2) What resource-efficient methodologies can operationalize fairness metrics, accounting for computational constraints and scalability requirements in real-world applications? {Awareness of user's specifics [F4]}, {Definition of GenAI metrics [F5]}, {Efficiency and scalability [F6]}

(3) How can theories from information management guide the design of fairness metrics that reconcile conflicting stakeholder definitions of fairness, ensuring equitable treatment across diverse demographic groups while maintaining practical feasibility?""  {Awareness of user's specifics [F4]}, {Definition of GenAI metrics [F5]}

""(1) In debiasing finetuning, how can researchers balance the trade-off between over-tuning for accuracy and under-tuning for generalization? {GenAI bias mitigation [F4]},  {GenAI model training [F5]}

(2) What strategies can enable realtime debiasing in LLMs to adapt to evolving datasets while mitigating the risk of bias drift and performance degradation? {GenAI bias mitigation [F4]}, {GenAI model training [F5]}, {Efficiency and scalability [F6]}

(3) How can researchers identify and prioritize key features or characteristics that influence bias, ensuring effective mitigation without compromising scalability and model accuracy?"" {GenAI bias mitigation [F4]},  {Efficiency and scalability [F6]}, {GenAI model training [F5]}

""(1) How can XAI methods be integrated into LLMs to improve transparency while maintaining model performance? {Transparency and explainability [F4]}, {Efficiency and scalability [F6]}

(2) How can XAI techniques be tailored for domain-specific applications (e.g., healthcare, finance, education) to ensure context-relevant transparency?"" {Transparency and explainability [F4]}, {Application to specific domains and business sectors [F3]}

""(1) How can information management researchers balance the tension between fostering innovation in LLMs and mitigating unintended societal consequences, particularly when ethical imperatives conflict with commercial pressures?  {Ethical use of GenAI [F4]}, {Societal impact of GenAI [F3]}

(2) What ethical guidelines can direct the responsible integration of LLMs in high-stakes sectors like healthcare and finance, where conflicting demands for rapid deployment, accuracy, and inclusivity create unique regulatory approaches?""  {Ethical use of GenAI [F4]}, {Application to specific domains and business sectors [F3]}, {Regulations and legal issues related to GenAI [F3]}, {GenAI model training [F5]}, {Proper representation and inclusivity [F4]}

""(1) How does bias propagate from foundational LLMs to downstream business applications, and what tensions arise when addressing these biases in business contexts prioritizing speed and scalability over fairness? {GenAI bias mitigation [F4]},  {Efficiency and scalability [F6]}, {Awareness of user's specifics [F4]}

(2) What tradeoffs between efficiency and equity should be considered when evaluating the societal impact of LLM bias mitigation efforts, particularly in scenarios where mitigating bias may reduce profitability or create competitive disadvantages for organizations?""  {Societal impact of GenAI [F3]}, {Efficiency and scalability [F6]}, {Proper representation and inclusivity [F4]}, {GenAI bias mitigation [F4]}

""(1) How can bias in LLM-driven recruitment systems be designed to minimize bias and prevent gender and racial discrimination in hiring and evaluations? {GenAI bias mitigation [F4]}, {Awareness of user's specifics [F4]}

(2) What role can explainable AI play in enhancing the transparency and fairness of LLM-driven HR processes?"" {Transparency and explainability [F4]}, {Awareness of user's specifics [F4]}

""(1) How can LLMs be tailored for healthcare systems to reduce biases that lead to disparities in patient treatment quality, particularly for marginalized groups? {Transparency and explainability [F4]}, {Awareness of user's specifics [F4]}, {Proper representation and inclusivity [F4]}

(2) How can researchers distinguish between intended differentiation, such as customizing treatment plans for specific populations (e.g., African Americans), and unintended differentiation that may lead to inequitable outcomes?"" {Awareness of user's specifics [F4]}, {GenAI model training [F5]}, {Proper representation and inclusivity [F4]}

""(1) How can information management scholars design fairness-aware LLM-based credit scoring frameworks that balance regulatory fairness mandates, organizational profitability, and equitable outcomes access for marginalized groups? {Awareness of user's specifics [F4]},  {Proper representation and inclusivity [F4]}

(2) What strategies can mitigate real-time biases in LLM-driven algorithmic trading to ensure market stability and inclusivity while reconciling the conflicting priorities of high-speed decision-making and ethical accountability?""  {Ethical use of GenAI [F4]}, {GenAI bias mitigation [F4]}, {Efficiency and scalability [F6]}, {Proper representation and inclusivity [F4]}, {GenAI model training [F5]}, {Accountability and contestability [F6]}

""(1) What frameworks can information management scholars develop to design LLM-based marketing systems that proactively minimize biases in audience targeting and content recommendations, ensuring equitable representation across diverse demographic groups while maintaining scalability and effectiveness? {GenAI bias mitigation [F4]}, {Awareness of user's specifics [F4]}, {Efficiency and scalability [F6]}

(2) What actionable methodologies can be designed to detect, analyze, and mitigate unintended biases in LLM-driven marketing systems while effectively balancing the competing priorities of hyper-personalization, customer engagement, inclusivity, and ethical accountability?"" {GenAI bias mitigation [F4]},  {Ethical use of GenAI [F4]}, {Accountability and contestability [F6]}, {Proper representation and inclusivity [F4]}, {Personalization tailored to the individual user [F1]}

""(1) How can LLM-based CRM systems be optimized to avoid gender and cultural stereotypes in customer interactions, particularly in voice assistants and chatbots? {GenAI bias mitigation [F4]}, {User-GenAI interaction design [F1]}

(2) What role can explainable AI play in ensuring that LLM-driven CRM systems maintain fairness and transparency in customer service practices?"" {Awareness of user's specifics [F4]}, {Transparency and explainability [F4]}

""(1) How can biases in sentiment analysis algorithms using LLMs be addressed to ensure fair and accurate customer feedback analysis across different regions and cultures? {GenAI bias mitigation [F4]}, {Awareness of user's specifics [F4]}

(2) To what extent can LLMs be trained to better interpret nuances like sarcasm and irony, minimizing linguistic biases?"" {GenAI bias mitigation [F4]}, {User-GenAI interaction design [F1]}

""(1) What finetuning methods can be developed to ensure that LLM models provide accurate results in information retrieval and annotation? {GenAI model training [F5]}

(2) How can bias in LLM-assisted data annotation be continuously detected and corrected to prevent skewed outcomes?"" {GenAI bias mitigation [F4]}

""(1) How can LLM-based recommendation systems be designed to minimize bias and ensure fair content exposure across different user demographics and preferences? {GenAI bias mitigation [F4]}, {Awareness of user's specifics [F4]}

(2) What metrics can be established to evaluate the fairness and diversity of LLM-driven recommendation systems, particularly in e-commerce?"" {Definition of GenAI metrics [F5]}, {Awareness of user's specifics [F4]}

""(1) How can bias in LLM-driven decision support systems be mitigated to ensure fair resource allocation? Similarly, biases in fraud detection systems can result in higher false positive rates for transactions from certain demographic groups, leading to discriminatory practices where individuals from specific backgrounds are unfairly targeted for fraud investigations. Hence, another critical question is: {GenAI bias mitigation [F4]}, {Awareness of user's specifics [F4]}, {Security and protection [F6]}, {Proper representation and inclusivity [F4]}

(2) What methods can reduce false positive rates in LLM-based fraud detection systems to avoid discriminatory practices against specific demographic groups?"" {Security and protection [F6]}, {Proper representation and inclusivity [F4]}",A lot of contents on a single issue of bias in GenAI
"Adam, Olek and Jacinto",S01,"Meng, X., Yan, X., Zhang, K., Liu, D., Cui, X., Yang, Y., ... & Tang, Y. D. (2024). The application of large language models in medicine: A scoping review. Iscience, 27(5).",16,journal,Include (secondary study),,Scoping Review (adopting Arksey and O’Malley’s structured five-step approach),"PubMed, Embase, Web of Science, and Scopus",550,up to July 2023,,Healthcare,"- Medicine (Health Informatics)
- digital innovation (?)",Medicine/healthcare (biomedicine),"objective: to review how LLMs are applied in medicine, focusing on their roles, advantages, challenges, and directions for future research","- ""surge in original research, which is indicative of growing empirical endeavors to harness the potential of LLMs in real-world medical scenarios.""
- ""... pronounced skew toward regions, such as the US, India, and Germany ... regions ... with higher internet access""
- ""... the integration of LLMs such as GPT-4 into the medical field represents a significant advancement with the potential to enhance healthcare in numerous ways, including diagnostics, patient communication, and medical training.""
- ""Research in ... identified ... areas largely focuses on facets such as medical writing, auxiliary diagnosis, and patient communication ...""
- ""... fields such as psychiatry and the nervous system, although well represented, emphasize uncharted areas where further research could unearth novel applications ...""
- ""... challenges posed by linguistic and cultural nuances in LLMs underscore the importance of region-specific model training and data integration.""
- Rigorous clinical validation is essential to ensure that LLMs adhere to evidence-based medicine standards.
- Ethical considerations such as data privacy, biases, transparency, and over-reliance on AI are critical; thus, LLMs should supplement rather than replace human medical expertise.","- ""the integration of LLMs such as GPT-4 into the medical field represents a significant advancement with the potential to enhance healthcare in numerous ways, including diagnostics, patient communication, and medical training.""
- Enhanced efficiency in medical documentation, literature synthesis, and data organization.
- Advanced medical education via simulations with real-time feedback.
- Diagnostics support (LLMs integrate extensive medical literature to recommend relevant examinations, assist clinical decision-making, and provide evidence-based diagnostic insights).
- Facilitated preliminary patient consultations and psychological support (LLMs simplify medical terminology, equip patients with foundational knowledge prior to consultations).
- Accelerated drug discovery processes and genomic research via predictions of drug properties.
- ability to handle not only textual data, such as patient medical records, diagnostic reports, and research papers, but also to interpret and analyze medical imaging data like MRIs, CT scans, and X-rays, as well as other forms of data like voice recordings or biomarkers;
- creating summaries and notes e.g. for surgeries;
- simplifying complex medical statistics for better comprehension;
- providing clear and concise explanations of e.g. complex medical data or statistical results thus making them easier for readers to understand;
- creation of diverse medical scenarios, complete with detailed patient histories and decision-making processes (in medical education);
- organizing vast quantities of medical data;
- generating budget proposals (based on past data);
- recommending medical examinations (auxiliary diagnosis);
- providing literature support (in diagnosing);
- enhancing doctor-patient interactions (in diagnosing);
- acting as preliminary consultation tools for patients;
- explaining medical terminology to patients;
- offering personalized nursing recommendations and help in development of tailored care plans;
- assisting nurses in managing and accurately dosing medication;
- offering emotional support - aiding patients in managing the psychological stresses associated with illness;
- making predictions (e.g. disease spreadout, protein structure, drug molecules, gene functions);","- ""the integration of LLMs such as GPT-4 into the medical field represents a significant advancement with the potential to enhance healthcare in numerous ways, including diagnostics, patient communication, and medical training."" {Diagnostics, decision-making, and patient care [B1]}
- Enhanced efficiency in medical documentation, literature synthesis, and data organization. {Clinical documentation and workflow [B1]}
- Advanced medical education via simulations with real-time feedback. {Personalized learning [B2]}
- Diagnostics support (LLMs integrate extensive medical literature to recommend relevant examinations, assist clinical decision-making, and provide evidence-based diagnostic insights). {Diagnostics, decision-making, and patient care [B1]}
- Facilitated preliminary patient consultations and psychological support {Strengthening mental health [B1]} (LLMs simplify medical terminology, equip patients with foundational knowledge prior to consultations {Access to healthcare knowledge and simplified communication [B1]} ). 
- Accelerated drug discovery processes and genomic research via predictions of drug properties. {Drug discovery acceleration and precision medicine [B1]}
- ability to handle not only textual data, such as patient medical records, diagnostic reports, and research papers, but also to interpret and analyze medical imaging data like MRIs, CT scans, and X-rays, as well as other forms of data like voice recordings or biomarkers; {Clinical documentation and workflow [B1]}
- creating summaries and notes e.g. for surgeries; {Summaries and notes [B6]}
- simplifying complex medical statistics for better comprehension; {Access to healthcare knowledge and simplified communication [B1]}
- providing clear and concise explanations of e.g. complex medical data or statistical results thus making them easier for readers to understand; {Access to healthcare knowledge and simplified communication [B1]}
- creation of diverse medical scenarios, complete with detailed patient histories and decision-making processes (in medical education); {Diagnostics, decision-making, and patient care [B1]}
- organizing vast quantities of medical data; {Clinical documentation and workflow [B1]}
- generating budget proposals (based on past data); {Task automation and service scaling [B6]}
- recommending medical examinations (auxiliary diagnosis); {Diagnostics, decision-making, and patient care [B1]}
- providing literature support (in diagnosing); {Diagnostics, decision-making, and patient care [B1]}
- enhancing doctor-patient interactions (in diagnosing); {Access to healthcare knowledge and simplified communication [B1]}
- acting as preliminary consultation tools for patients; {Access to healthcare knowledge and simplified communication [B1]}
- explaining medical terminology to patients; {Access to healthcare knowledge and simplified communication [B1]}
- offering personalized nursing recommendations and help in development of tailored care plans; {Diagnostics, decision-making, and patient care [B1]}
- assisting nurses in managing and accurately dosing medication; {Diagnostics, decision-making, and patient care [B1]}
- offering emotional support - aiding patients in managing the psychological stresses associated with illness; {Strengthening mental health [B1]}
- making predictions (e.g. disease spreadout, protein structure, drug molecules, gene functions); {Diagnostics, decision-making, and patient care [B1]}","- ""The integration of LLMs into the medical field introduces a significant challenge: the current scarcity of evidence-based medical research concerning the application of LLMs in healthcare settings.""
- ""... LLMs present a potential risk for prediction errors in clinical environments.""
- ""Challenges such as data privacy, model interpretability, and potential biases persist.""
- Limited contextual understanding, causing inaccuracies and misleading recommendations.
- Risk of over-reliance and potential misinformation propagation.
- Challenges with linguistic, cultural nuances, and biases inherent in training data.
- Evaluating safety, applicability, and impact on patients for LLMs in medical scenarios;
- Making medical LLMs accessible and inclusive, overcoming language, cultural, and technological barriers;","- ""The integration of LLMs into the medical field introduces a significant challenge: the current scarcity of evidence-based medical research {Lack of Evidence and Validation [C2]} concerning the application of LLMs in healthcare settings.""
- ""... LLMs present a potential risk for prediction errors {Hallucinations and Factual Inaccuracy [C2]} in clinical environments.""
- ""Challenges such as data privacy {Data Privacy Violations [C4]}, model interpretability {Model Opacity (Black-Box Nature) [C3]}{Explainability Shortcomings [C3]}, and potential biases {Biases and Discrimination [C1]} persist.""
- Limited contextual understanding {Limited Contextual Awareness [C2]}, causing inaccuracies and misleading recommendations {Hallucinations and Factual Inaccuracy [C2]}.
- Risk of over-reliance {Human Autonomy and Skill Devaluation [C1]} and potential misinformation propagation {Potential for Misuse and Harmful Content [C1]}.
- Challenges with linguistic, cultural nuances {Limited Contextual Awareness [C2]}, and biases inherent in training data {Biases and Discrimination [C1]}.
- Evaluating safety, applicability, and impact on patients {Lack of Evidence and Validation [C2]} for LLMs in medical scenarios;
- Making medical LLMs accessible and inclusive, overcoming language, cultural, and technological barriers {Societal and Economic Disparities [C1]};","- ""To comprehensively understand the potential benefits and risks associated with LLMs in medicine, a more robust body of clinical research is required. This research should encompass randomized controlled trials, observational studies, and extensive collaborative research, which are critical to evaluate the clinical utility of LLMs accurately.""
- Understanding of LLMs' impact on different medical conditions and scenarios;
- Expanded focus on multimodal LLMs.
- Exploration of transparency in LLMs, emphasizing interpretability and explainability to foster clinician trust and acceptance.","- ""To comprehensively understand the potential benefits and risks associated with LLMs in medicine, a more robust body of clinical research is required. This research should encompass randomized controlled trials, observational studies, and extensive collaborative research, which are critical to evaluate the clinical utility of LLMs accurately."" {Application to specific domains and business sectors [F3]}, {Benefits provided by GenAI to organisations  [F2]}, {Empirical evaluation of GenAI in the field [F5]}, {Risks introduced by GenAI to societies [F3]}

- Understanding of LLMs' impact on different medical conditions and scenarios; {Societal impact of GenAI [F3]}

- Expanded focus on multimodal LLMs. {User-GenAI interaction design [F1]}

- Exploration of transparency in LLMs, emphasizing interpretability and explainability to foster clinician trust and acceptance. {Transparency and explainability [F4]}, {Demonstrating trustworthiness [F6]}, {GenAI adoption and acceptance factors [F2]}",A solid work.
Adam,E02,"Abhari, S., Fatahi, S., Saragadam, A., Chumachenko, D., & Morita, P. P. (2024). A Road Map of Prompt Engineering for ChatGPT in Healthcare: A Perspective Study. Studies in Health Technology and Informatics. IOS Press. https://doi. org/10.3233/SHTI240578.",5,conference,Exclude,This paper is garbage that cannot be included in our study. ,flawed non-systematic review ,"PubMed, Scopus, IEEE, WoS, and Google Scholar",NULL,"up to November 15, 2023",,,,,"""The primary objective of this study is to identify potential applications for designing prompts for key healthcare stakeholders: patients, providers, policymakers, managers, and researchers. It also proposes a process for prompt engineering for these stakeholders.""",,,,,,,,"""Potential applications for designing related prompts for key healthcare stakeholders were identified based on literature and our perspective [7-11]."""
Aleksander,E03,"Albuquerque, B. V. L. D., Cunha, A. F. S. D., Souza, L., Siqueira, S. W. M., & Santos, R. P. D. (2024, May). Generating and reviewing programming codes with large language models: A systematic mapping study. In Proceedings of the 20th Brazilian Symposium on Information Systems (pp. 1-10).",10,conference,Exclude,Full text in Portuguese,,,,,,,,,,,,,,,,,
